name,symbol,isBaseCurrency,isInactive,overrideCurrencyFormat,displaySymbol,symbolPlacement,locale,formatSample,exchangeRate,fxRateUpdateTimezone,currencyPrecision
USA,USD,true,false,false,$,_beforeNumber,_unitedStatesEnglish,"$1,234.56",1.0,_americaNewYork,_two
British pound,GBP,false,false,false,£,_beforeNumber,_unitedKingdomEnglish,"£1,234.56",1.9802961,,_two
Canadian dollar,CAD,false,false,false,$,_beforeNumber,_canadaEnglish,"$1,234.56",0.9929,,_two
Euro,EUR,false,false,false,€,_beforeNumber,_franceFrenchEuro,"€1 234,56",1.4669532,,_two
